frame_name,parent_frame,translation_m,quaternion_wxyz,source_file,confidence,context_note,scenario_hash
I,,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]",20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/coordinate_frame_definition_v0.md,reference definition,Inertial/world root; the static registry snapshot uses t=0.,
S,I,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]",20_engineering/config/geometry/frame_tree_v1.yaml; 30_simulation/sim_05_free_floating_arm/results/sim_05_base_attitude.csv,nominal frame; t=0 pose is display reference,Static t=0 identity only; the Dynamics replay supplies I-to-S attitude.,
B,S,"[0.0,0.0,0.0]","[1.0,0.0,0.0,0.0]",20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/coordinate_frame_definition_v0.md sec 2/3,default/unverified,SSOT B is the free-flyer mother-body base. Default T_SB is identity; a measured CoM offset is still required.,
M,S,"[0.18525,0.0,0.0]","[0.707106781187,0.0,0.707106781187,0.0]",20_engineering/config/geometry/frame_tree_v1.yaml; coordinate_frame_definition_v0.md sec 3.1,nominal_frozen_v1,Arm mounting face and B601 URDF base reference (the deprecated robot-base B).,
E,M,"[0.099999999997,0.0,0.76474999987]","[0.0,6e-12,0.0,-1.0]",20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf; E1.5 e15_results_72cases.csv selected_q_json,"FK verified; geometry-selected, dynamics not admissible","Display configuration P1_tc00_v10mm_pose_6d; T_ME(q), not a flight trajectory.",4648e26f6240b367
T,S,"[1.24,0.0,-0.1]","[0.0,0.0,0.0,1.0]",target_satellite_v0.json; 30_simulation/sim_09_grasp_evaluator/src/adapters.py::scene_placement,display nominal; geometry only,22 kg satellite main-assembly placement at t=0; E1/E1.5 did not evaluate this target.,
D,S,"[1.61,0.0,-1.05]","[0.0,0.0,0.0,1.0]",target_debris_v0.json; 30_simulation/sim_09_grasp_evaluator/src/adapters.py::scene_placement,E1 context placement; E1.5 evidence target,Reference placement P1/tc0/v10mm/6D; E1 and E1.5 hashes differ because E1.5 includes roll.,29ac905c553bf301
G1,D,"[0.66,0.0,0.95]","[0.0,0.707106781187,0.0,0.707106781187]",30_simulation/sim_09_grasp_evaluator/src/e1_thin_slice.py::GRASP_POINTS; E1.5 e15_geometry_manifest.json,geometry grid verified; dynamics status varies by case,P1 local grasp frame; +z_G is the outward approach normal; roll is applied about +z_G.,
G2,D,"[0.0,0.66,0.95]","[0.5,-0.5,-0.5,-0.5]",30_simulation/sim_09_grasp_evaluator/src/e1_thin_slice.py::GRASP_POINTS; E1.5 e15_geometry_manifest.json,geometry grid verified; dynamics status varies by case,P2 local grasp frame; +z_G is the outward approach normal; roll is applied about +z_G.,
G3,D,"[0.66,0.0,-0.95]","[0.707106781187,0.0,0.707106781187,0.0]",30_simulation/sim_09_grasp_evaluator/src/e1_thin_slice.py::GRASP_POINTS; E1.5 e15_geometry_manifest.json,geometry grid verified; dynamics status varies by case,P3 local grasp frame; +z_G is the outward approach normal; roll is applied about +z_G.,
