case_id,forensic_scenario_hash,scenario_hash,solver_config_hash,method,rtol,atol,max_step,n_steps,nfev,njev,nlu,status,solver_success,termination_reason,classification,solver_message,exception_message,energy_residual,energy_residual_reason,momentum_residual,momentum_residual_reason,integration_wall_s,retry_level,crosscheck_relative_tolerance,output_metrics_hash,attempt_evidence_hash,crosscheck_evidence_hash
P1_tc60_v20mm_approach_5d,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,25301,389345,0,87882,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,41.076971700000286,0,0.05,,335e70a9d132fbbcb4043d20af93c7670193d6d3864298c87430ae1a5f76f1b6,
P1_tc60_v20mm_approach_5d,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,0.02,25301,389345,0,87882,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,41.49054719999549,1,0.05,,cbaad74dbf8a9897d907ce4b0933b34fb23593f3e3e072955b6f8dee32caf649,
P1_tc60_v20mm_approach_5d,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-07,1e-11,0.02,100000,1809190,0,308412,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,175.42897449999873,2,0.05,,94d71e57aee285c49a440465066225dd9c829ba60942bfa43060c5e2751e3486,
P1_tc60_v20mm_approach_5d,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,775d2b06054ff34877a1fcc10b0523a8128f03d8f4e3e56642512f8e4559a107,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,BDF,1e-07,1e-11,0.02,100000,423277,0,128700,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,58.462274599995,3,0.05,,8a9b98b4f84af3488a442ef0ff3d0e527434a1c59403551bb4e680a0a62cb0bb,
P2_tc90_v5mm_pose_6d,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,17479,261589,0,52262,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,27.050047300006554,0,0.05,,afd9a1e2c0a0a075ac1a4456d8abf25530435314fd9b81f8c9897bf9f6ca2012,
P2_tc90_v5mm_pose_6d,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,0.02,17479,261589,0,52262,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,26.514896200002113,1,0.05,,224b99f64c232c5f00a0f6ae87b3da5399e2d5add5e6ef2b518b7fd5d8f9da68,
P2_tc90_v5mm_pose_6d,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-07,1e-11,0.02,100000,1758301,0,277666,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,167.4422029000052,2,0.05,,e5e362a07f31c69c0e9af471c59045b2e4594c37e4da0d13a6b8f9d9ea1b169a,
P2_tc90_v5mm_pose_6d,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,bdc6da0b8200bb342a22241582118f1b13624b3fa2fb16f7f9dc625b5e84bf07,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,BDF,1e-07,1e-11,0.02,100000,426028,0,123418,-1,False,RESOURCE_LIMIT_ACCEPTED_STEPS,SOLVER_NONCONVERGENCE,accepted-step limit 100000 reached before t_bound=15,ANCFIntegrationError: accepted-step limit 100000 reached before t_bound=15,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,57.97767569999996,3,0.05,,4ec66b39aa08e8f5f6dbfc8abd12987e4374f7f6e82fd7d820a00530a3e2d1bd,
P2_tc90_v20mm_pose_6d,e18bc2d6b89a6dc0c7680a2b5776916f86eaa6052bd8b45b7c7f420257d1a165,e18bc2d6b89a6dc0c7680a2b5776916f86eaa6052bd8b45b7c7f420257d1a165,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,,18263,273632,0,55296,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,27.79030590000184,0,0.05,,d2115b219c73930c330060e8d46f077f1cbc6087fe82e7b7bc986151f05dee9e,
P2_tc90_v20mm_pose_6d,e18bc2d6b89a6dc0c7680a2b5776916f86eaa6052bd8b45b7c7f420257d1a165,e18bc2d6b89a6dc0c7680a2b5776916f86eaa6052bd8b45b7c7f420257d1a165,a61aaad7d65259bce62b0715ae68440b740ef507fa19210fd5ca4cd555119aa7,Radau,1e-06,1e-10,0.02,18263,273632,0,55296,-1,False,SOLVER_FAILURE,SOLVER_NONCONVERGENCE,Required step size is less than spacing between numbers.,ANCFIntegrationError: Required step size is less than spacing between numbers.,,not_defined_for_damped_clamped_one_way_model_without_dissipation_power_integral,,not_defined_for_clamped_one_way_panel_with_prescribed_base_jump,27.94171809999534,1,0.05,,9067951bff918104b9e077b0634be54df4c69f5428c39d16c280243eb18d322b,
