path,bytes,sha256
frame_root_module.step,751328,4d2d643c670b453caab47aa01af815b0460e1d3e663b0558c4ae1d00cc102ba3
service_robot_stowed.step,268134225,5d4d8d6149e287ffc5bf142b0844c7bcf5af4c4f5b7a51e1f137b6701bd2a40d
service_robot_initial_deploy.step,268134715,5a4615854402078ff2659f7fbaf8a52be285c977ddca51b86e90d20ef55d6f13
service_robot_work.step,268134128,708540f5a6397ff45e500754e1489184f3a797f903381931cd4a63fe6bf4eb2a
ASSEMBLY_AND_TEST_PLAN.md,10216,dc0bad2b0d6310f7ed17428b8256c45707483d079a7844a7e96c4511b8743914
CAD_BRIEF.md,2176,e9586b9cbcc68b478ffa4b55cc6e3104c9fce88f636a97bcab683935a0197ef3
DESIGN_INPUTS.md,9172,22131c72ac6f86ed464d04cb14d5861bd5a54a15fe07fa11312f49aa6e20f897
design_parameters.json,4146,9ab316460388c507c34b1be83ed1616afabaa34e51c835ecbfea973c98f018b2
EXECUTION_REPORT.md,5566,bad0163524e69ad8432701b4ee1b9f3d5c7682cb59baae700c768ea547c8a50e
finalize_packet.py,3929,1197061618115e21f1aecfcd334fc6a4c0ce26c807fdaa7fc8df99f43c8615dc
finger_interface_check.py,6424,34b1f3495209c0687386089420394c9f8d74f0e5f9ac527f9b45e3c0b6586fc4
frame_root_module.step.py,102,1f346ac13884b27a6da40f56123238747b9819d7a9acc01f813d2725f67b932a
interface_requirements.csv,13345,41dd1a03b41bff05813a5fbde6c60d4b2915013971e3d77c4daac51ab237f4aa
kinematics.py,1823,3ed16b3a2a7ac5566ead038fd2d291bfcadf86ac1fa5e294acecb92b5ea7b7bf
LAYOUT_COMPARISON.json,299378,89ad430fc4b383d9a71b8c2b9ee1d2eeb6894b2d4dfe0556e2e188540c7f886e
LAYOUT_COMPARISON.md,8627,eaa57f0a78318f47807908a39ed26b0af387a5600c396b6ec796aaff8d5ca92c
layout_study.py,29313,bc62187cee9e2819d0a257723c7ddfa3294024d6c0285df341291b069bab8e73
NEXT_PARTS.md,10030,b979c5a8ff448291ef15c9cb0e01ea5d34c628b70a2c4e87975d7b1b03140af7
prepare_inputs.py,1634,5513c05777b6ae22ef00bf893bbcdbd6022cd35c90f719b1945cccce8f1e77c3
probe_source_topology.py,5134,e66cf9eda8f2817d118af62466ed626888c7023bd3522c7f5a164ba6c084880c
README.md,7433,72b699f207600bb52bbbba74b10aa531c041b9511c5c476bfffeded257acd76d
service_robot_common.py,11284,3d480b23abb2b51beda77bea3839d0450ee11f823cf7ff7d1842d8c5d14a5af2
service_robot_initial_deploy.step.py,90,e3e084c528cda1a21013ea3a94cdc3024b9543aa0e2f25253cd6174e9afc2b93
service_robot_stowed.step.py,82,88e24575831f2b9994d219a4bf4b3404bf86b85b4fa29c8d7f741898edd137fa
service_robot_work.step.py,80,589a71c7f42c7d892e31e982f810ca532c175be214096d658f34af98b1622356
snapshot_frame_root_module.json,1089,9ef63a74c3c8ba31132e26e0e519df26beb13336fcf70cd0f7d05bcb19412037
snapshot_service_robot_initial_deploy.json,1144,7a1cab3485d09bcd6268b229ebcbe07ccf1bbbc1de1c737bb1eaa0784d68b030
snapshot_service_robot_stowed.json,1104,6d6ed5ffaef300fce1a951de39fb912f25cb7926e2b7c0f08c0b35649f767b49
snapshot_service_robot_work.json,1094,e2e9942ac60d1cd1988809e48429dedc4a3c516c269c641652e03f73c697c766
SOURCE_INPUTS.json,4865,d2163239b082bab1454e89dab23aa6bc83c1bd805fee75fc8e6430f430f398f9
structure_contact_check.py,4444,796546ce1c135df48d69633a6a5a3bc0eb419bdabb44ff443bcc3ff174596b1e
verify_interfaces.py,1896,16368421f5e077484c0060f99a8c20243c357a1fefee689b4d653f2005b5cade
verify_transform_transfer.py,1202,7e36e97f82636c4dcda1ea56c5998524b70615f46fd165fc324c02ae8f64099e
